col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
    267, NGC2874, NGC2874, 141.44820,  11.42820,  0.01260,   62.550, 3.09E+05, 1.85E+05,  0.00000,       0,       0
    268, UGC05020, UGC05020, 141.50620,  34.65340,  0.00530,   69.640, 2.99E+04, 4.38E+04,  0.00000,       0,       0
    269, NGC2882, NGC2882, 141.64931,   7.95440,  0.00720,   58.110, 4.50E+04, 4.38E+04,  0.00000,       0,       0
    270, 2MASXJ09283754+3832213, 2MASXJ09283754+3832213, 142.15649,  38.53920,  0.01220,   47.370, 1.20E+05, 7.01E+04,  0.00000,       0,       0
    271, NGC2894, NGC2894, 142.37601,   7.71880,  0.00710,   59.300, 4.71E+04, 4.62E+04,  0.00000,       0,       0
    272, NGC2880, NGC2880, 142.39400,  62.49060,  0.00510,   72.330, 3.05E+04, 4.65E+04,  0.00524,       1,       1
    273, IC2487, IC2487, 142.53819,  20.09080,  0.01450,   50.000, 2.38E+05, 1.57E+05,  0.01439,       1,       0
    274, IC0540, IC0540, 142.54311,   7.90280,  0.00690,   58.300, 4.07E+04, 4.19E+04,  0.00678,       1,       1
    275, NGC2906, NGC2906, 143.02589,   8.44180,  0.00710,   60.620, 5.05E+04, 4.95E+04,  0.00722,       1,       1
    276, NGC2919, NGC2919, 143.69800,  10.28370,  0.00810,   59.270, 7.05E+04, 5.44E+04,  0.00000,       0,       0
    277, NGC2916, NGC2916, 143.74001,  21.70530,  0.01240,   58.050, 2.36E+05, 1.40E+05,  0.01227,       1,       1
    278, UGC05108, UGC05108, 143.85950,  29.81260,  0.02710,   53.750, 1.42E+06, 1.52E+06,  0.02711,       1,       1
    279, NGC2918, NGC2918, 143.93350,  31.70550,  0.02260,   54.350, 1.16E+06, 1.37E+06,  0.02248,       1,       1
    280, UGC05111, UGC05111, 144.21899,  66.78830,  0.02250,   48.550, 8.08E+05, 9.58E+05,  0.02242,       1,       1
    281, UGC05113, UGC05113, 144.23779,  66.54870,  0.02270,   46.490, 7.31E+05, 8.70E+05,  0.02280,       1,       0
    282, NGC2927, NGC2927, 144.31329,  23.59060,  0.02510,   53.330, 1.51E+06, 1.68E+06,  0.00000,       0,       0
    283, NGC2929, NGC2929, 144.37430,  23.16160,  0.02510,   48.370, 1.11E+06, 1.24E+06,  0.00000,       0,       0
    284, NGC2939, NGC2939, 144.53290,   9.52390,  0.01120,   54.440, 1.40E+05, 8.02E+04,  0.00000,       0,       0
    285, NGC2943, NGC2943, 144.63690,  17.03130,  0.02810,   71.570, 7.31E+05, 8.05E+05,  0.00000,       0,       0
    286, NGC2942, NGC2942, 144.78320,  34.00630,  0.01470,   56.710, 3.67E+05, 2.43E+05,  0.00000,       0,       0
    287, UGC05145, UGC05145, 144.89470,  48.42190,  0.02460,   66.010, 1.25E+06, 1.45E+06,  0.00000,       0,       0
    288, NGC2954, NGC2954, 145.10040,  14.92260,  0.01270,   54.330, 2.08E+05, 1.26E+05,  0.00000,       0,       0
    289, UGC05164, UGC05164, 145.20799,  11.55410,  0.02220,   73.860, 1.23E+06, 1.45E+06,  0.00000,       0,       0
    290, UGC05157, UGC05157, 145.24220,  47.62040,  0.01610,   59.070, 5.37E+05, 3.65E+05,  0.00000,       0,       0
    291, NGC2955, NGC2955, 145.31931,  35.88230,  0.02330,   45.340, 7.30E+05, 8.77E+05,  0.00000,       0,       0
    292, NGC2968, NGC2968, 145.80000,  31.92870,  0.00510,   60.400, 1.31E+04, 2.04E+04,  0.00000,       0,       0
    293, NGC2965, NGC2965, 145.82980,  36.24780,  0.02210,   50.510, 8.62E+05, 1.01E+06,  0.00000,       0,       0
    294, NGC2959, NGC2959, 146.28740,  68.59460,  0.01480,   50.700, 2.64E+05, 1.75E+05,  0.00000,       0,       0
    295, UGC05215, UGC05215, 146.31000,   9.11030,  0.01830,   49.390, 4.58E+05, 3.18E+05,  0.00000,       0,       0
    296, IC0565, IC0565, 146.96010,  15.85200,  0.01950,   51.160, 6.18E+05, 4.53E+05,  0.00000,       0,       0
    297, UGC05244, UGC05244, 147.19910,  64.16690,  0.01000,   56.730, 1.16E+05, 6.54E+04,  0.00999,       1,       1
    298, UGC05267, UGC05267, 147.47031,   9.09580,  0.01890,   57.700, 8.13E+05, 5.80E+05,  0.00000,       0,       0
    299, NGC3021, NGC3021, 147.73810,  33.55360,  0.00510,   48.130, 2.79E+03, 4.26E+03,  0.00000,       0,       0
    300, UGC05315, UGC05315, 148.56081,  37.29890,  0.01910,   46.810, 4.39E+05, 3.16E+05,  0.00000,       0,       0
    301, UGC05320, UGC05320, 148.57410,  23.28750,  0.01380,   52.610, 2.38E+05, 1.53E+05,  0.00000,       0,       0
    302, NGC3053, NGC3053, 148.89000,  16.43290,  0.01240,   59.770, 2.57E+05, 1.53E+05,  0.00000,       0,       0
    303, NGC3043, NGC3043, 149.06171,  59.30720,  0.01000,   45.030, 5.73E+04, 3.25E+04,  0.00000,       0,       0
    304, NGC3060, NGC3060, 149.07990,  16.83120,  0.01170,   45.040, 9.08E+04, 5.23E+04,  0.00000,       0,       0
    305, NGC3070, NGC3070, 149.52890,  10.35980,  0.01800,   48.320, 4.07E+05, 2.78E+05,  0.00000,       0,       0
    306, UGC05358, UGC05358, 149.69640,  11.38870,  0.00970,   48.030, 6.28E+04, 3.77E+04,  0.00986,       1,       1
    307, UGC05359, UGC05359, 149.71519,  19.21500,  0.02830,   45.140, 1.28E+06, 1.41E+06,  0.02815,       1,       1
    308, NGC3075, NGC3075, 149.73450,  14.41880,  0.01190,   49.810, 1.30E+05, 7.52E+04,  0.00000,       0,       0
    309, UGC05396, UGC05396, 150.41870,  10.75640,  0.01810,   46.100, 3.58E+05, 2.46E+05,  0.01798,       1,       1
    310, SDSSJ100141.02+371447.4, SDSSJ100141.02+371447.4, 150.42149,  37.24770,  0.00520,   55.420, 9.91E+03, 1.48E+04,  0.00538,       1,       1
    311, NGC3106, NGC3106, 151.02190,  31.18550,  0.02070,   48.560, 6.31E+05, 5.67E+05,  0.02062,       1,       1
    312, NGC3057, NGC3057, 151.41460,  80.28670,  0.00510,   53.060, 6.27E+03, 9.66E+03,  0.00505,       1,       1
    313, UGC05481, UGC05481, 152.46440,  30.32090,  0.02110,   56.590, 1.07E+06, 1.06E+06,  0.00000,       0,       0
    314, UGC05498NED01, UGC05498NED01, 153.01520,  23.08540,  0.02100,   70.140, 1.40E+06, 1.35E+06,  0.02091,       1,       1
    315, UGC05499, UGC05499, 153.07350,  27.86210,  0.01580,   74.030, 1.03E+06, 7.00E+05,  0.00000,       0,       0
    316, IC0598, IC0598, 153.20239,  43.14550,  0.00750,   52.320, 3.79E+04, 3.38E+04,  0.00000,       0,       0
    317, NGC3153, NGC3153, 153.21049,  12.66660,  0.00940,   67.690, 1.61E+05, 1.02E+05,  0.00000,       0,       0
    318, NGC3158, NGC3158, 153.46049,  38.76490,  0.02310,   60.800, 1.46E+06, 1.75E+06,  0.02298,       1,       0
    319, NGC3160, NGC3160, 153.47960,  38.84290,  0.02290,   63.920, 1.41E+06, 1.68E+06,  0.02283,       1,       0
    320, UGC05520, UGC05520, 153.75180,  65.13990,  0.01100,   48.180, 9.22E+04, 5.28E+04,  0.01102,       1,       0
    321, UGC05529, UGC05529, 153.76620,  21.17420,  0.02070,   45.820, 5.24E+05, 4.65E+05,  0.00000,       0,       0
    322, NGC3179, NGC3179, 154.48840,  41.11430,  0.02390,   54.750, 1.40E+06, 1.70E+06,  0.00000,       0,       0
    323, NGC3182, NGC3182, 154.88760,  58.20570,  0.00700,   50.670, 2.60E+04, 2.60E+04,  0.00700,       1,       0
    324, NGC3209, NGC3209, 155.16010,  25.50510,  0.02060,   53.770, 8.52E+05, 7.49E+05,  0.00000,       0,       0
    325, UGC05597, UGC05597, 155.46910,  23.86080,  0.02090,   50.080, 7.19E+05, 6.84E+05,  0.00000,       0,       0
    326, UGC05598, UGC05598, 155.55830,  20.58940,  0.01870,   49.320, 4.92E+05, 3.49E+05,  0.01883,       1,       1
    327, UGC05604, UGC05604, 155.66969,  46.23870,  0.01690,   64.690, 8.22E+05, 5.60E+05,  0.00000,       0,       0
    328, NGC3230, NGC3230, 155.93320,  12.56780,  0.00940,   50.330, 6.59E+04, 4.17E+04,  0.00000,       0,       0
    329, UGC05642, UGC05642, 156.42430,  11.73910,  0.00770,   64.760, 7.90E+04, 6.68E+04,  0.00000,       0,       0
    330, NGC3237, NGC3237, 156.43040,  39.64640,  0.02340,   46.440, 7.99E+05, 9.62E+05,  0.00000,       0,       0
    331, UGC05657, UGC05657, 156.71581,  41.88860,  0.02300,   46.520, 7.53E+05, 8.99E+05,  0.00000,       0,       0
    332, NGC3251, NGC3251, 157.32010,  26.09920,  0.01700,   77.400, 1.46E+06, 9.97E+05,  0.00000,       0,       0
    333, UGC05680, UGC05680, 157.35840,  60.29560,  0.02330,   45.810, 7.54E+05, 9.06E+05,  0.00000,       0,       0
    334, UGC05695, UGC05695, 157.44490,  13.01820,  0.00980,   45.430, 5.56E+04, 3.24E+04,  0.00000,       0,       0
    335, UGC05693, UGC05693, 157.45700,  39.01260,  0.02600,   51.820, 1.51E+06, 1.56E+06,  0.00000,       0,       0
    336, UGC05713, UGC05713, 157.91200,  25.98390,  0.02100,   66.160, 1.47E+06, 1.42E+06,  0.00000,       0,       0
    337, UGC05727, UGC05727, 158.34520,  64.50160,  0.01080,   45.050, 7.10E+04, 4.05E+04,  0.00000,       0,       0
    338, UGC05760, UGC05760, 159.08881,  13.71150,  0.01000,   51.690, 8.63E+04, 4.89E+04,  0.00000,       0,       0
    339, NGC3300, NGC3300, 159.16020,  14.17110,  0.01010,   59.420, 1.35E+05, 7.63E+04,  0.01012,       1,       1
    340, NGC3303, NGC3303, 159.25040,  18.13590,  0.02000,   49.170, 5.91E+05, 4.43E+05,  0.02060,       1,       1
    341, UGC05771, UGC05771, 159.33060,  43.58760,  0.02480,   46.780, 9.60E+05, 1.10E+06,  0.02475,       1,       1
    342, NGC3304, NGC3304, 159.40800,  37.45560,  0.02320,   58.250, 1.50E+06, 1.80E+06,  0.00000,       0,       0
    343, NGC3320, NGC3320, 159.90210,  47.39790,  0.00780,   47.020, 2.88E+04, 2.40E+04,  0.00000,       0,       0
    344, NGC3332, NGC3332, 160.11819,   9.18250,  0.01950,   50.750, 6.05E+05, 4.44E+05,  0.00000,       0,       0
    345, NGC3334, NGC3334, 160.38000,  37.31280,  0.02410,   45.130, 7.92E+05, 9.57E+05,  0.00000,       0,       0
    346, UGC05820, UGC05820, 160.87140,  80.89110,  0.01250,   45.070, 1.10E+05, 6.56E+04,  0.00000,       0,       0
    347, NGC3352, NGC3352, 161.06219,  22.37120,  0.01940,   56.480, 8.26E+05, 6.03E+05,  0.00000,       0,       0
    348, UGC05855, UGC05855, 161.15390,  26.18170,  0.02080,   54.610, 9.14E+05, 8.35E+05,  0.00000,       0,       0
    349, UGC05859, UGC05859, 161.26170,  43.70470,  0.02540,   50.150, 1.28E+06, 1.40E+06,  0.00000,       0,       0
    350, NGC3363, NGC3363, 161.28940,  22.07850,  0.01930,   47.290, 4.75E+05, 3.46E+05,  0.00000,       0,       0
    351, UGC05894, UGC05894, 161.91400,  26.29480,  0.02170,   63.470, 1.48E+06, 1.66E+06,  0.00000,       0,       0
    352, IC0642, IC0642, 162.03380,  18.18870,  0.02010,   50.130, 6.34E+05, 4.85E+05,  0.00000,       0,       0
    353, NGC3381, NGC3381, 162.10339,  34.71140,  0.00540,   47.180, 3.99E+03, 5.71E+03,  0.00575,       1,       1
    354, UGC05924, UGC05924, 162.30060,  22.01600,  0.02550,   55.770, 1.45E+06, 1.56E+06,  0.00000,       0,       0
    355, NGC3395, NGC3395, 162.45821,  32.98010,  0.00520,   54.140, 8.65E+03, 1.29E+04,  0.00549,       1,       1
    356, UGC05957, UGC05957, 162.79480,  20.17040,  0.01400,   49.470, 2.07E+05, 1.35E+05,  0.00000,       0,       0
    357, NGC3419A, NGC3419A, 162.83310,  14.02340,  0.01030,   69.840, 2.32E+05, 1.32E+05,  0.00000,       0,       0
    358, NGC3426, NGC3426, 162.92400,  18.48080,  0.02030,   48.940, 6.12E+05, 5.02E+05,  0.00000,       0,       0
    359, NGC3415, NGC3415, 162.92751,  43.71260,  0.01090,   65.960, 2.31E+05, 1.32E+05,  0.00000,       0,       0
    360, NGC3406NED01, NGC3406NED01, 162.93179,  51.02220,  0.02500,   46.210, 9.55E+05, 1.07E+06,  0.02469,       1,       1
    361, UGC05990, UGC05990, 163.15970,  34.48310,  0.00540,   49.120, 5.46E+03, 7.85E+03,  0.00513,       1,       0
    362, NGC3440, NGC3440, 163.45621,  57.11870,  0.00640,   51.030, 1.77E+04, 2.03E+04,  0.00000,       0,       0
    363, NGC3462, NGC3462, 163.83771,   7.69680,  0.02170,   50.540, 8.24E+05, 9.19E+05,  0.00000,       0,       0
    364, UGC06036, UGC06036, 163.98030,  36.86150,  0.02180,   56.880, 1.20E+06, 1.37E+06,  0.02177,       1,       1
    365, NGC3468, NGC3468, 164.37990,  40.94620,  0.02510,   51.080, 1.32E+06, 1.47E+06,  0.00000,       0,       0
    366, UGC06062, UGC06062, 164.65649,   9.05050,  0.00880,   48.570, 4.77E+04, 3.36E+04,  0.00000,       0,       0
    367, UGC06063, UGC06063, 164.69031,  25.14090,  0.02030,   51.270, 6.98E+05, 5.60E+05,  0.00000,       0,       0
    368, NGC3471, NGC3471, 164.78751,  61.53070,  0.00710,   56.060, 3.88E+04, 3.86E+04,  0.00000,       0,       0
    369, NGC3488, NGC3488, 165.34840,  57.67760,  0.01010,   47.030, 6.63E+04, 3.76E+04,  0.00000,       0,       0
    370, UGC06104, UGC06104, 165.46230,  16.60690,  0.01000,   51.510, 8.54E+04, 4.83E+04,  0.00000,       0,       0
    371, UGC06106, UGC06106, 165.54660,  45.88900,  0.02190,   47.550, 6.97E+05, 8.00E+05,  0.00000,       0,       0
    372, UGC06136, UGC06136, 166.15289,  45.98530,  0.02500,   57.290, 1.44E+06, 1.61E+06,  0.00000,       0,       0
    373, UGC06148, UGC06148, 166.49200,  36.40710,  0.02470,   51.460, 1.28E+06, 1.48E+06,  0.00000,       0,       0
    374, UGC06176, UGC06176, 166.85280,  21.65710,  0.00890,   45.630, 4.23E+04, 2.89E+04,  0.00000,       0,       0
    375, NGC3540, NGC3540, 167.31700,  36.02110,  0.02130,   46.640, 6.08E+05, 6.27E+05,  0.00000,       0,       0
    376, UGC06199, UGC06199, 167.46570,  62.29180,  0.01590,   56.000, 4.42E+05, 3.00E+05,  0.00000,       0,       0
    377, UGC06207, UGC06207, 167.47690,  24.25690,  0.02100,   75.270, 1.30E+06, 1.24E+06,  0.00000,       0,       0
    378, NGC3547, NGC3547, 167.48309,  10.72080,  0.00530,   53.200, 8.32E+03, 1.22E+04,  0.00000,       0,       0
    379, NGC3543, NGC3543, 167.73520,  61.34700,  0.00560,   55.190, 1.34E+04, 1.84E+04,  0.00000,       0,       0
    380, UGC06219, UGC06219, 167.73830,  19.18280,  0.02080,   60.360, 1.25E+06, 1.14E+06,  0.00000,       0,       0
    381, IC0674, IC0674, 167.77650,  43.63300,  0.02510,   48.620, 1.12E+06, 1.25E+06,  0.02488,       1,       1
    382, NGC3561, NGC3561, 167.80499,  28.69640,  0.02850,   50.400, 1.44E+06, 1.59E+06,  0.00000,       0,       0
    383, UGC06256, UGC06256, 168.48450,  65.17760,  0.01130,   55.650, 1.55E+05, 8.89E+04,  0.01098,       1,       1
    384, IC0677, IC0677, 168.48540,  12.30110,  0.01090,   48.460, 9.11E+04, 5.20E+04,  0.00000,       0,       0
    385, UGC06273, UGC06273, 168.71350,  35.50230,  0.02150,   58.910, 1.28E+06, 1.36E+06,  0.00000,       0,       0
    386, UGC06312, UGC06312, 169.50079,   7.84490,  0.02110,   52.880, 8.71E+05, 8.60E+05,  0.02099,       1,       1
    387, NGC3615, NGC3615, 169.52769,  23.39730,  0.02210,   55.710, 1.17E+06, 1.37E+06,  0.02209,       1,       0
    388, NGC3614, NGC3614, 169.58890,  45.74820,  0.00770,   75.140, 1.24E+05, 1.05E+05,  0.00777,       1,       1
    389, NGC3610, NGC3610, 169.60530,  58.78630,  0.00590,   61.670, 2.81E+04, 3.56E+04,  0.00583,       1,       0
    390, UGC06332, UGC06332, 169.81920,  20.81350,  0.02080,   52.890, 8.29E+05, 7.57E+05,  0.00000,       0,       0
    391, NGC3619, NGC3619, 169.83980,  57.75780,  0.00520,   65.350, 2.21E+04, 3.28E+04,  0.00507,       1,       1
    392, UGC06336, UGC06336, 169.91420,  24.92950,  0.02600,   53.460, 1.48E+06, 1.53E+06,  0.00000,       0,       0
    393, NGC3625, NGC3625, 170.13060,  57.78140,  0.00660,   53.690, 2.51E+04, 2.76E+04,  0.00000,       0,       0
    394, NGC3629, NGC3629, 170.13251,  26.96340,  0.00510,   55.630, 8.55E+03, 1.32E+04,  0.00000,       0,       0
    395, UGC06355, UGC06355, 170.16631,  31.22200,  0.00730,   73.510, 9.94E+04, 9.26E+04,  0.00000,       0,       0
    396, CGCG126-035, CGCG126-035, 170.25130,  24.30340,  0.02820,   45.870, 1.34E+06, 1.47E+06,  0.00000,       0,       0
    397, UGC06380, UGC06380, 170.50940,  50.59370,  0.02330,   49.340, 9.46E+05, 1.14E+06,  0.00000,       0,       0
    398, UGC06383, UGC06383, 170.51089,  42.81930,  0.01070,   47.540, 8.10E+04, 4.62E+04,  0.00000,       0,       0
    399, NGC3649, NGC3649, 170.56140,  20.20840,  0.01500,   58.090, 4.12E+05, 2.74E+05,  0.00000,       0,       0
    400, NGC3642, NGC3642, 170.57460,  59.07450,  0.00530,   57.740, 1.35E+04, 1.97E+04,  0.00000,       0,       0
    401, IC2763, IC2763, 170.57730,  13.06510,  0.00520,   49.870, 4.77E+03, 7.13E+03,  0.00000,       0,       0
    402, NGC3648, NGC3648, 170.63130,  39.87690,  0.00680,   45.920, 1.48E+04, 1.55E+04,  0.00000,       0,       0
    403, NGC3650, NGC3650, 170.64751,  20.70390,  0.01460,   56.110, 3.42E+05, 2.26E+05,  0.00000,       0,       0
    404, NGC3652, NGC3652, 170.66260,  37.76510,  0.00670,   67.550, 5.79E+04, 6.24E+04,  0.00000,       0,       0
    405, UGC06397, UGC06397, 170.75880,  34.49770,  0.02080,   65.900, 1.48E+06, 1.37E+06,  0.00000,       0,       0
    406, NGC3656, NGC3656, 170.91100,  53.84210,  0.00960,   54.000, 8.61E+04, 5.29E+04,  0.00000,       0,       0
    407, UGC06414, UGC06414, 171.02139,  24.61540,  0.02560,   53.490, 1.49E+06, 1.60E+06,  0.00000,       0,       0
    408, NGC3668, NGC3668, 171.37691,  63.44630,  0.01150,   59.960, 2.07E+05, 1.19E+05,  0.00000,       0,       0
    409, UGC06433, UGC06433, 171.38260,  38.06060,  0.00700,   50.210, 2.48E+04, 2.49E+04,  0.00000,       0,       0
    410, NGC3674, NGC3674, 171.61079,  57.04840,  0.00670,   63.760, 4.95E+04, 5.29E+04,  0.00000,       0,       0
    411, UGC06455, UGC06455, 171.84129,  40.01310,  0.00670,   45.610, 1.34E+04, 1.43E+04,  0.00000,       0,       0
    412, NGC3683, NGC3683, 171.88271,  56.87700,  0.00580,   58.920, 2.12E+04, 2.78E+04,  0.00000,       0,       0
    413, NGC3682, NGC3682, 171.92171,  66.58990,  0.00510,   62.020, 1.50E+04, 2.32E+04,  0.00000,       0,       0
    414, NGC3687, NGC3687, 172.00250,  29.51110,  0.00830,   50.590, 4.67E+04, 3.51E+04,  0.00830,       1,       1
    415, NGC3697, NGC3697, 172.20990,  20.79500,  0.02090,   70.800, 1.39E+06, 1.31E+06,  0.00000,       0,       0
    416, NGC3683A, NGC3683A, 172.29900,  57.13230,  0.00810,   56.740, 6.06E+04, 4.71E+04,  0.00000,       0,       0
    417, NGC3712, NGC3712, 172.78900,  28.56650,  0.00550,   47.850, 5.13E+03, 7.20E+03,  0.00000,       0,       0
    418, NGC3752, NGC3752, 173.13440,  74.62730,  0.00640,   60.980, 3.66E+04, 4.18E+04,  0.00000,       0,       0
    419, UGC06526, UGC06526, 173.16460,  35.32840,  0.00610,   59.750, 2.90E+04, 3.48E+04,  0.00000,       0,       0
    420, NGC3728, NGC3728, 173.31580,  24.44690,  0.02310,   46.740, 7.81E+05, 9.35E+05,  0.00000,       0,       0
    421, NGC3725, NGC3725, 173.41890,  61.88800,  0.01110,   45.100, 7.86E+04, 4.50E+04,  0.00000,       0,       0
    422, UGC06545, UGC06545, 173.43359,  32.63370,  0.00880,   45.420, 4.00E+04, 2.78E+04,  0.00000,       0,       0
    423, UGC06588, UGC06588, 174.30640,  15.43250,  0.01350,   46.990, 1.57E+05, 9.91E+04,  0.00000,       0,       0
    424, NGC3762, NGC3762, 174.34930,  61.75940,  0.01150,   65.370, 2.65E+05, 1.52E+05,  0.00000,       0,       0
    425, NGC3772, NGC3772, 174.45200,  22.69130,  0.01190,   48.530, 1.19E+05, 6.85E+04,  0.00000,       0,       0
    426, NGC3753, NGC3753, 174.47411,  21.98120,  0.02910,   49.520, 1.44E+06, 1.58E+06,  0.00000,       0,       0
    427, UGC06617, UGC06617, 174.82350,   9.96240,  0.02080,   49.790, 6.87E+05, 6.26E+05,  0.00000,       0,       0
    428, NGC3780, NGC3780, 174.84320,  56.27070,  0.00800,   63.680, 8.26E+04, 6.53E+04,  0.00000,       0,       0
    429, NGC3786, NGC3786, 174.92670,  31.90600,  0.01000,   65.370, 1.76E+05, 9.96E+04,  0.00000,       0,       0
    430, NGC3800, NGC3800, 175.05620,  15.34230,  0.01100,   69.610, 2.87E+05, 1.64E+05,  0.00000,       0,       0
    431, NGC3798, NGC3798, 175.05811,  24.69710,  0.01200,   75.060, 4.64E+05, 2.68E+05,  0.00000,       0,       0
    432, NGC3801, NGC3801, 175.07080,  17.72790,  0.01170,   77.490, 4.69E+05, 2.70E+05,  0.00000,       0,       0
    433, NGC3805, NGC3805, 175.17371,  20.34290,  0.02180,   45.790, 6.14E+05, 6.94E+05,  0.00000,       0,       0
    434, NGC3812, NGC3812, 175.28220,  24.82180,  0.01210,   46.990, 1.14E+05, 6.63E+04,  0.00000,       0,       0
    435, NGC3809, NGC3809, 175.31689,  59.88580,  0.01150,   49.840, 1.16E+05, 6.68E+04,  0.00000,       0,       0
    436, NGC3811, NGC3811, 175.31931,  47.69080,  0.01020,   50.240, 8.47E+04, 4.81E+04,  0.01046,       1,       1
    437, NGC3815, NGC3815, 175.41370,  24.80050,  0.01240,   55.150, 1.99E+05, 1.18E+05,  0.01256,       1,       0
    438, UGC06653, UGC06653, 175.41560,  15.96570,  0.01070,   52.130, 1.09E+05, 6.22E+04,  0.00000,       0,       0
    439, NGC3816, NGC3816, 175.45010,  20.10370,  0.01910,   56.190, 7.81E+05, 5.64E+05,  0.00000,       0,       0
    440, NGC3825, NGC3825, 175.59891,  10.26410,  0.02160,   54.730, 1.04E+06, 1.14E+06,  0.00000,       0,       0
    441, UGC06677, UGC06677, 175.71761,  26.54070,  0.02850,   53.820, 1.35E+06, 1.49E+06,  0.00000,       0,       0
    442, IC2951, IC2951, 175.85229,  19.74980,  0.02030,   49.420, 6.32E+05, 5.19E+05,  0.00000,       0,       0
    443, NGC3832, NGC3832, 175.88100,  22.72540,  0.02310,   55.870, 1.35E+06, 1.62E+06,  0.00000,       0,       0
    444, UGC06697, UGC06697, 175.95450,  19.96850,  0.02220,   54.850, 1.13E+06, 1.33E+06,  0.00000,       0,       0
    445, NGC3842, NGC3842, 176.00900,  19.94980,  0.02080,   58.450, 1.14E+06, 1.05E+06,  0.00000,       0,       0
    446, NGC3853, NGC3853, 176.11800,  16.55810,  0.01110,   58.960, 1.73E+05, 9.92E+04,  0.00000,       0,       0
    447, NGC3862, NGC3862, 176.27090,  19.60630,  0.02160,   51.450, 8.58E+05, 9.39E+05,  0.00000,       0,       0
    448, NGC3867, NGC3867, 176.37340,  19.40020,  0.02500,   47.650, 1.04E+06, 1.18E+06,  0.00000,       0,       0
    449, NGC3869, NGC3869, 176.43980,  10.82460,  0.01010,   68.890, 2.10E+05, 1.19E+05,  0.00000,       0,       0
    450, NGC3872, NGC3872, 176.45441,  13.76670,  0.01050,   71.190, 2.67E+05, 1.52E+05,  0.00000,       0,       0
    451, NGC3884, NGC3884, 176.55080,  20.39170,  0.02330,   54.890, 1.31E+06, 1.58E+06,  0.00000,       0,       0
    452, NGC3883, NGC3883, 176.69650,  20.67540,  0.02340,   49.490, 9.66E+05, 1.16E+06,  0.00000,       0,       0
    453, NGC3886, NGC3886, 176.77330,  19.83720,  0.01940,   51.910, 6.41E+05, 4.69E+05,  0.00000,       0,       0
    454, UGC06758, UGC06758, 176.77650,  13.70680,  0.01040,   47.600, 7.53E+04, 4.28E+04,  0.00000,       0,       0
    455, NGC3888, NGC3888, 176.89320,  55.96720,  0.00800,   56.770, 5.81E+04, 4.60E+04,  0.00000,       0,       0
    456, NGC3891, NGC3891, 177.01401,  30.35930,  0.02100,   50.590, 7.48E+05, 7.22E+05,  0.00000,       0,       0
    457, UGC06774, UGC06774, 177.04720,  54.99180,  0.00800,   49.480, 3.93E+04, 3.08E+04,  0.00000,       0,       0
    458, NGC3897, NGC3897, 177.24780,  35.01610,  0.02130,   53.560, 9.33E+05, 9.63E+05,  0.00000,       0,       0
    459, UGC06791, UGC06791, 177.34840,  26.74160,  0.00620,   62.220, 3.54E+04, 4.20E+04,  0.00000,       0,       0
    460, UGC06794, UGC06794, 177.34970,  16.64190,  0.01150,   50.580, 1.22E+05, 7.02E+04,  0.00000,       0,       0
    461, NGC3910, NGC3910, 177.49710,  21.33360,  0.02610,   50.100, 1.39E+06, 1.44E+06,  0.00000,       0,       0
    462, NGC3899, NGC3899, 177.51860,  26.47920,  0.00600,   62.870, 3.16E+04, 3.93E+04,  0.00000,       0,       0
    463, NGC3916, NGC3916, 177.71271,  55.14360,  0.01940,   45.620, 4.28E+05, 3.12E+05,  0.00000,       0,       0
    464, NGC3921, NGC3921, 177.77859,  55.07870,  0.01970,   65.730, 1.38E+06, 1.02E+06,  0.00000,       0,       0
    465, UGC06845, UGC06845, 178.15070,  13.46800,  0.02100,   45.920, 5.51E+05, 5.26E+05,  0.00000,       0,       0
    466, NGC3937, NGC3937, 178.17760,  20.63130,  0.02220,   45.500, 6.40E+05, 7.55E+05,  0.00000,       0,       0
    467, NGC3944, NGC3944, 178.27119,  26.20690,  0.01210,   46.150, 1.08E+05, 6.26E+04,  0.00000,       0,       0
    468, NGC3947, NGC3947, 178.33470,  20.75170,  0.02070,   51.380, 7.45E+05, 6.62E+05,  0.00000,       0,       0
    469, IC2973, IC2973, 178.46280,  33.36490,  0.01070,   45.450, 7.15E+04, 4.08E+04,  0.00000,       0,       0
    470, NGC3958, NGC3958, 178.64030,  58.36710,  0.01110,   54.530, 1.37E+05, 7.86E+04,  0.00000,       0,       0
    471, UGC06891, UGC06891, 178.81970,  17.48760,  0.02260,   53.520, 1.11E+06, 1.32E+06,  0.00000,       0,       0
    472, NGC3968, NGC3968, 178.86960,  11.96840,  0.02130,   74.370, 1.29E+06, 1.31E+06,  0.00000,       0,       0
    473, UGC06905, UGC06905, 178.94431,  29.94140,  0.02270,   45.290, 6.70E+05, 7.97E+05,  0.00000,       0,       0
    474, NGC3987, NGC3987, 179.33850,  25.19480,  0.01510,   72.750, 8.41E+05, 5.60E+05,  0.00000,       0,       0
    475, NGC3991, NGC3991, 179.37900,  32.33700,  0.01080,   45.460, 7.42E+04, 4.24E+04,  0.01184,       1,       0
    476, NGC3994, NGC3994, 179.40359,  32.27760,  0.01030,   45.050, 6.19E+04, 3.52E+04,  0.01042,       1,       1
    477, NGC3993, NGC3993, 179.40759,  25.24060,  0.01620,   60.050, 5.76E+05, 3.91E+05,  0.00000,       0,       0
