col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
    113, UGC02367, UGC02367,  43.42170,   6.26560,  0.02460,   68.070, 1.19E+06, 1.38E+06,  0.02468,       1,       0
    114, NGC1142, NGC1142,  43.80090,  -0.18360,  0.02880,   49.100, 1.46E+06, 1.60E+06,  0.02928,       1,       1
    115, UGC02403, UGC02403,  43.98860,   0.69260,  0.01370,   53.270, 2.43E+05, 1.55E+05,  0.01372,       1,       0
    116, UGC02405, UGC02405,  43.98990,   6.49480,  0.02570,   52.340, 1.51E+06, 1.60E+06,  0.02578,       1,       0
    117, UGC02443, UGC02443,  44.58960,  -2.04190,  0.00840,   49.270, 4.38E+04, 3.27E+04,  0.00847,       1,       1
    118, UGC02465, UGC02465,  45.15590,  35.16910,  0.01690,   48.780, 3.51E+05, 2.39E+05,  0.01686,       1,       0
    119, NGC1167, NGC1167,  45.42640,  35.20560,  0.01640,   60.230, 6.11E+05, 4.16E+05,  0.01646,       1,       0
    120, NGC1194, NGC1194,  45.95460,  -1.10370,  0.01350,   59.640, 3.31E+05, 2.11E+05,  0.01366,       1,       0
    121, NGC1211, NGC1211,  46.71840,  -0.79450,  0.01070,   53.820, 1.20E+05, 6.88E+04,  0.01074,       1,       0
    122, MCG-01-09-006, MCG-01-09-006,  47.20130,  -7.04060,  0.02890,   51.600, 1.39E+06, 1.53E+06,  0.02905,       1,       1
    123, IC0307, IC0307,  48.43840,  -0.24150,  0.02610,   63.100, 1.23E+06, 1.28E+06,  0.02575,       1,       0
    124, UGC02628, UGC02628,  49.13270,  -0.46810,  0.02270,   55.810, 1.28E+06, 1.53E+06,  0.02259,       1,       1
    125, UGC02690, UGC02690,  50.17890,  -1.10860,  0.02100,   46.870, 5.87E+05, 5.60E+05,  0.02090,       1,       0
    126, NGC1324, NGC1324,  51.25700,  -5.74580,  0.01890,   60.410, 9.41E+05, 6.73E+05,  0.01884,       1,       1
    127, NGC1349, NGC1349,  52.86460,   4.38090,  0.02200,   45.100, 6.02E+05, 7.07E+05,  0.02195,       1,       1
    128, NGC1361, NGC1361,  53.57390,  -6.26500,  0.01750,   45.620, 3.18E+05, 2.17E+05,  0.01759,       1,       1
    129, MCG-01-10-015, MCG-01-10-015,  54.66320,  -5.34730,  0.01380,   48.530, 1.85E+05, 1.19E+05,  0.01360,       1,       1
    130, MCG-01-10-019, MCG-01-10-019,  55.17910,  -6.41520,  0.01750,   53.590, 5.18E+05, 3.54E+05,  0.01755,       1,       1
    131, NGC1542, NGC1542,  64.30910,   4.78170,  0.01240,   48.120, 1.34E+05, 7.94E+04,  0.01244,       1,       1
    132, UGC03038, UGC03038,  66.25550,   7.17100,  0.02700,   45.580, 1.15E+06, 1.23E+06,  0.02710,       1,       0
    133, UGC03107, UGC03107,  69.34100,   9.54470,  0.02830,   45.470, 1.31E+06, 1.44E+06,  0.02785,       1,       0
    134, NGC1645, NGC1645,  71.02670,  -5.46570,  0.01630,   62.060, 6.48E+05, 4.40E+05,  0.01606,       1,       1
    135, UGC03151, UGC03151,  71.33180,  11.06800,  0.01460,   56.860, 3.59E+05, 2.37E+05,  0.01516,       1,       0
    136, NGC1656, NGC1656,  71.47240,  -5.13670,  0.01280,   62.100, 3.18E+05, 1.94E+05,  0.01246,       1,       1
    137, NGC1659, NGC1659,  71.62480,  -4.78890,  0.01520,   51.120, 2.94E+05, 1.97E+05,  0.01556,       1,       1
    138, NGC1665, NGC1665,  72.07120,  -5.42760,  0.00920,   62.670, 1.18E+05, 7.81E+04,  0.00916,       1,       1
    139, NGC1666, NGC1666,  72.13680,  -6.57000,  0.00920,   49.520, 5.92E+04, 3.86E+04,  0.00923,       1,       1
    140, NGC1667, NGC1667,  72.15490,  -6.32000,  0.01520,   51.660, 3.02E+05, 2.02E+05,  0.01530,       1,       1
    141, IC2095, IC2095,  72.19120,  -5.12460,  0.00950,   68.550, 1.76E+05, 1.09E+05,  0.01017,       1,       1
    142, IC2098, IC2098,  72.68450,  -5.41840,  0.00940,   74.900, 2.24E+05, 1.41E+05,  0.00934,       1,       1
    143, NGC1677, NGC1677,  72.71700,  -4.89270,  0.00920,   47.120, 5.11E+04, 3.33E+04,  0.00934,       1,       1
    144, IC2101, IC2101,  72.92570,  -6.23150,  0.01520,   56.980, 4.08E+05, 2.73E+05,  0.01489,       1,       1
    145, ARP180, ARP180,  73.35250,  -4.79270,  0.01450,   51.720, 2.63E+05, 1.74E+05,  0.01415,       1,       0
    146, UGC03253, UGC03253,  79.92450,  84.05260,  0.01380,   52.380, 2.34E+05, 1.50E+05,  0.01389,       1,       0
    147, NGC2253, NGC2253, 100.92430,  65.20640,  0.01200,   52.240, 1.52E+05, 8.76E+04,  0.01201,       1,       0
    148, UGC03539, UGC03539, 102.22500,  66.26160,  0.01100,   64.700, 2.29E+05, 1.31E+05,  0.01113,       1,       0
    149, NGC2347, NGC2347, 109.01700,  64.71130,  0.01490,   54.340, 3.28E+05, 2.18E+05,  0.01463,       1,       1
    150, UGC03899, UGC03899, 113.15730,  35.61450,  0.01290,   45.110, 1.23E+05, 7.56E+04,  0.01315,       1,       1
    151, NGC2410, NGC2410, 113.75940,  32.82210,  0.01560,   75.240, 1.03E+06, 6.96E+05,  0.01574,       1,       1
